epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
79,3855.53,0.95889,1.65436,0.29975,0.01194,0.60752,0.49881,0.54125,0.51108,0.42486,0.47682,0.52669,0.5035,0.38811,0.95481,1.72969,0.29214,0.01241,0,1.0695e-05,1.0695e-05,0.00010695,0.00010695,0.00010695
80,3904.29,0.97188,1.63876,0.29875,0.01195,0.58576,0.51345,0.5432,0.51315,0.42645,0.49024,0.53389,0.50574,0.38871,0.9509,1.73373,0.29541,0.01243,0,1.04475e-05,1.04475e-05,0.000104475,0.000104475,0.000104475
81,3952.99,0.95506,1.62566,0.30087,0.01178,0.59706,0.48457,0.53858,0.51148,0.42522,0.4916,0.53273,0.50563,0.39083,0.9529,1.72697,0.29418,0.01225,0,1.02e-05,1.02e-05,0.000102,0.000102,0.000102
82,4001.67,0.95385,1.63556,0.29482,0.01169,0.59435,0.50291,0.54987,0.51459,0.42822,0.47914,0.5285,0.50727,0.39108,0.9598,1.74092,0.28977,0.0125,0,9.9525e-06,9.9525e-06,9.9525e-05,9.9525e-05,9.9525e-05
83,4050.44,0.96114,1.63276,0.29698,0.0117,0.59862,0.48139,0.53662,0.51345,0.42698,0.48795,0.52671,0.50584,0.3913,0.95994,1.72291,0.28873,0.01253,0,9.705e-06,9.705e-06,9.705e-05,9.705e-05,9.705e-05
84,4099.25,0.95831,1.63431,0.29817,0.01204,0.59905,0.49596,0.55702,0.51648,0.42692,0.47655,0.54365,0.50809,0.39157,0.95001,1.73547,0.29258,0.01241,0,9.4575e-06,9.4575e-06,9.4575e-05,9.4575e-05,9.4575e-05
85,4147.94,0.96257,1.64578,0.30024,0.01183,0.59217,0.49826,0.54937,0.51511,0.42877,0.48617,0.53518,0.50709,0.39243,0.955,1.7197,0.29149,0.01244,0,9.21e-06,9.21e-06,9.21e-05,9.21e-05,9.21e-05
86,4196.74,0.95214,1.61078,0.29513,0.01156,0.5913,0.49057,0.54237,0.51427,0.42907,0.49766,0.53194,0.50809,0.39267,0.95291,1.71681,0.29252,0.01249,0,8.9625e-06,8.9625e-06,8.9625e-05,8.9625e-05,8.9625e-05
87,4245.45,0.95779,1.64322,0.29814,0.01168,0.60263,0.49854,0.54348,0.51646,0.42837,0.47945,0.53653,0.50906,0.39125,0.95997,1.72331,0.29192,0.01262,0,8.715e-06,8.715e-06,8.715e-05,8.715e-05,8.715e-05
88,4294.12,0.96569,1.62872,0.29534,0.01201,0.59591,0.48268,0.53439,0.51292,0.42633,0.48163,0.52802,0.50597,0.38964,0.95246,1.72118,0.2947,0.01243,0,8.4675e-06,8.4675e-06,8.4675e-05,8.4675e-05,8.4675e-05
89,4342.75,0.96473,1.63461,0.29784,0.01175,0.59497,0.51454,0.55396,0.5162,0.42802,0.48642,0.53237,0.50743,0.39203,0.94662,1.71117,0.29423,0.01235,0,8.22e-06,8.22e-06,8.22e-05,8.22e-05,8.22e-05
90,4391.42,0.96093,1.62277,0.29672,0.01174,0.59742,0.49447,0.54809,0.51682,0.42962,0.49515,0.5328,0.50912,0.39255,0.95121,1.72044,0.29193,0.0124,0,7.9725e-06,7.9725e-06,7.9725e-05,7.9725e-05,7.9725e-05
91,4440.23,0.95713,1.64065,0.29495,0.01151,0.58987,0.50812,0.54562,0.51411,0.42755,0.48473,0.53504,0.50715,0.39249,0.95629,1.71519,0.29232,0.01259,0,7.725e-06,7.725e-06,7.725e-05,7.725e-05,7.725e-05
92,4488.88,0.95327,1.63216,0.29543,0.01184,0.5981,0.50516,0.5462,0.51737,0.42959,0.48741,0.53111,0.50887,0.3912,0.94815,1.73033,0.29443,0.01233,0,7.4775e-06,7.4775e-06,7.4775e-05,7.4775e-05,7.4775e-05
93,4537.52,0.95391,1.62831,0.29584,0.0119,0.59556,0.50203,0.55886,0.51567,0.42848,0.48393,0.53602,0.5088,0.39354,0.95172,1.71871,0.29081,0.01235,0,7.23e-06,7.23e-06,7.23e-05,7.23e-05,7.23e-05
94,4586.16,0.95492,1.61607,0.2947,0.01202,0.60205,0.50968,0.55467,0.51689,0.42699,0.47988,0.53299,0.50897,0.39172,0.96015,1.73793,0.28758,0.0127,0,6.9825e-06,6.9825e-06,6.9825e-05,6.9825e-05,6.9825e-05
