epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
33,60557.3,1.49,2.72515,2.39843,0.01886,1.32113,0.50027,0.41604,0.41424,0.26194,0.4861,0.40134,0.38607,0.24101,1.56021,2.57684,2.21667,0.02726,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,62378.4,1.47866,2.71488,2.39516,0.01884,1.31826,0.49027,0.43054,0.4178,0.26528,0.47769,0.41379,0.38978,0.24342,1.56118,2.56969,2.20836,0.02726,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,64202.4,1.47663,2.7133,2.38856,0.01874,1.30985,0.48986,0.43186,0.41934,0.26705,0.47793,0.41655,0.39181,0.24451,1.55811,2.56242,2.20626,0.02722,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,66026.4,1.46684,2.68964,2.36581,0.01852,1.29529,0.49887,0.42693,0.42026,0.26839,0.48326,0.41244,0.39264,0.24512,1.55555,2.56195,2.20645,0.02714,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,67853.7,1.46532,2.68433,2.34983,0.01849,1.29535,0.50409,0.42663,0.42239,0.27011,0.48854,0.41138,0.39506,0.24648,1.55145,2.55699,2.20073,0.02704,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,69679.3,1.4571,2.67639,2.34133,0.01832,1.28313,0.50228,0.42585,0.42452,0.27083,0.48966,0.41024,0.39746,0.24807,1.54596,2.54762,2.19503,0.0269,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,71504.9,1.44673,2.65294,2.33518,0.01832,1.28198,0.49601,0.43245,0.4249,0.27163,0.48136,0.41648,0.39701,0.24787,1.54765,2.54587,2.1883,0.02692,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,73330.5,1.44297,2.63979,2.30972,0.01815,1.26747,0.50481,0.43018,0.42707,0.27353,0.48892,0.41521,0.3989,0.24937,1.54622,2.54325,2.18108,0.0269,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,75159.5,1.54732,2.60217,2.2489,0.02891,0.86876,0.50168,0.43048,0.42646,0.27385,0.48806,0.41281,0.39863,0.24964,1.5421,2.53858,2.1773,0.02682,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,76984.4,1.53096,2.57937,2.21547,0.02833,0.85253,0.49939,0.43308,0.42706,0.27473,0.48152,0.41624,0.39919,0.25035,1.53854,2.54357,2.17415,0.02673,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,78810.6,1.52361,2.56201,2.19046,0.02819,0.838,0.49976,0.43778,0.42937,0.27619,0.48273,0.42098,0.40201,0.25153,1.5334,2.53918,2.17116,0.0266,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,80636.4,1.51063,2.53402,2.17939,0.0278,0.83227,0.49676,0.44037,0.43198,0.27834,0.47796,0.4225,0.40456,0.2537,1.53042,2.53667,2.16596,0.02655,0,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,82465.6,1.49929,2.52621,2.14958,0.02756,0.82147,0.49719,0.44141,0.4338,0.27947,0.49151,0.42088,0.40667,0.25489,1.53047,2.52997,2.1577,0.02652,0,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,84297.4,1.49227,2.51566,2.13029,0.02741,0.81589,0.50242,0.44227,0.43539,0.28117,0.48662,0.42375,0.40859,0.25649,1.52874,2.52692,2.15229,0.02643,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,86126.8,1.4771,2.49334,2.11329,0.02696,0.80809,0.50543,0.43923,0.43632,0.28223,0.49242,0.42105,0.40951,0.25691,1.5299,2.52533,2.14467,0.02648,0,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,87959.3,1.47588,2.4847,2.09291,0.02679,0.80234,0.50878,0.44172,0.43761,0.28367,0.49446,0.4226,0.41046,0.25788,1.52841,2.52598,2.14117,0.02645,0,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,89789.9,1.46424,2.47014,2.07739,0.02669,0.79819,0.50489,0.44107,0.43846,0.28463,0.49337,0.42139,0.41081,0.25826,1.53009,2.52301,2.13332,0.02645,0,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,91616.8,1.45392,2.46032,2.06111,0.02647,0.79136,0.50739,0.44272,0.4397,0.28548,0.49727,0.4231,0.41318,0.25891,1.52867,2.51969,2.13089,0.02641,0,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
