epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,7625.67,1.64448,2.41453,1.82805,0.01396,0.75614,0.48641,0.47261,0.46594,0.26842,0.48876,0.45663,0.45638,0.29698,1.65675,2.36076,1.831,0.02863,0,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,7862.19,1.65341,2.4168,1.82757,0.01355,0.77111,0.55027,0.46895,0.46474,0.27854,0.54897,0.45426,0.45133,0.29361,1.63573,2.3299,1.77583,0.02803,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,8098.72,1.63457,2.36801,1.79111,0.01352,0.75774,0.64416,0.47149,0.454,0.27153,0.6224,0.47539,0.4491,0.29319,1.64492,2.32828,1.76004,0.02831,0,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,8335.9,1.64804,2.40599,1.81512,0.01348,0.75594,0.63514,0.45999,0.46607,0.28911,0.6455,0.45347,0.4555,0.29516,1.6271,2.30585,1.77441,0.02675,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,8572.79,1.63344,2.37513,1.79746,0.0136,0.74954,0.52781,0.45079,0.47484,0.29347,0.52753,0.44672,0.4586,0.30371,1.6085,2.32438,1.77257,0.027,0,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,8809.47,1.61901,2.36552,1.76457,0.01337,0.73003,0.70352,0.44204,0.47186,0.28149,0.70864,0.43885,0.45469,0.29875,1.64892,2.31204,1.77615,0.02772,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,9046.64,1.62553,2.3811,1.75762,0.01341,0.73282,0.50983,0.47485,0.47109,0.29003,0.51516,0.47598,0.46228,0.31157,1.62842,2.32084,1.75439,0.02794,0,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,9283.35,1.62927,2.35975,1.72608,0.01303,0.71973,0.61809,0.46015,0.48649,0.30307,0.53633,0.45887,0.47,0.31119,1.62073,2.32261,1.77067,0.02733,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,9520.54,1.62212,2.34619,1.73864,0.01308,0.71495,0.60015,0.47847,0.4832,0.28766,0.52787,0.45488,0.4634,0.30771,1.64653,2.3559,1.73329,0.02853,0,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,9757.33,1.61949,2.32791,1.72155,0.01312,0.71119,0.65845,0.46278,0.46068,0.28095,0.65968,0.45891,0.45624,0.29807,1.61711,2.3179,1.74888,0.02665,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
