epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
46,2672.45,1.29743,2.50063,0.48207,0.01887,0.81135,0.25863,0.25694,0.18672,0.10449,0.25357,0.24615,0.18637,0.11042,1.20409,2.59748,0.52883,0.01596,0,0.000585599,0.000585599,0.000585599
47,2728.83,1.24831,2.44774,0.4898,0.01713,0.8003,0.18167,0.2479,0.15964,0.08806,0.18439,0.24533,0.16314,0.09512,1.17538,2.55702,0.51779,0.01535,0,0.000580101,0.000580101,0.000580101
48,2781.62,1.3359,2.51087,0.46269,0.01944,0.79368,0.22787,0.27764,0.19651,0.10904,0.21835,0.27707,0.18806,0.11229,1.19313,2.63296,0.53696,0.01556,0,0.000574603,0.000574603,0.000574603
49,2834.81,1.29114,2.49791,0.47545,0.01853,0.80836,0.21723,0.26836,0.18352,0.10691,0.21276,0.26887,0.18338,0.11098,1.21893,2.55792,0.51812,0.01594,0,0.000569106,0.000569106,0.000569106
50,2890.22,1.26881,2.47156,0.47833,0.01825,0.79003,0.26746,0.24067,0.19554,0.11423,0.26741,0.2394,0.19503,0.1209,1.20766,2.52493,0.52863,0.01583,0,0.000563608,0.000563608,0.000563608
51,2945.9,1.23085,2.41603,0.47335,0.01736,0.81044,0.19099,0.27605,0.1613,0.09264,0.19368,0.28101,0.16223,0.09398,1.19203,2.60089,0.52885,0.01537,0,0.00055811,0.00055811,0.00055811
52,3000.97,1.29383,2.47539,0.47347,0.01909,0.79671,0.21765,0.25625,0.17501,0.10159,0.22612,0.25783,0.17314,0.10283,1.17017,2.5855,0.51584,0.01507,0,0.000552612,0.000552612,0.000552612
53,3056.79,1.28167,2.46847,0.4698,0.01871,0.79955,0.21123,0.26617,0.18281,0.10604,0.22027,0.26636,0.17939,0.1046,1.15827,2.61356,0.51354,0.01474,0,0.000547114,0.000547114,0.000547114
54,3113.82,1.27103,2.4428,0.47168,0.01868,0.78531,0.22506,0.27685,0.16798,0.0931,0.22147,0.27964,0.16821,0.10277,1.1812,2.54537,0.53023,0.01533,0,0.000541617,0.000541617,0.000541617
55,3172.62,1.21945,2.37251,0.47577,0.01677,0.7873,0.23856,0.24359,0.17374,0.09574,0.24294,0.23796,0.17471,0.09979,1.18855,2.57033,0.52655,0.01564,0,0.000536119,0.000536119,0.000536119
